item_no,curr_progress,date,remarks
1,0,2021-09-02,
2,0,2021-09-02,
3,0,2021-09-02,
4,0,2021-09-02,
1,23,2021-09-02,
2,10,2021-09-02,
3,5,2021-09-02,
4,1,2021-09-02,
1,23,2021-09-02 00:00:00,test
2,10,2021-09-02 00:00:00,
3,5,2021-09-02 00:00:00,
4,1,2021-09-02 00:00:00,
1,31,2021-09-02 00:00:00,test
2,10,2021-09-02 00:00:00,test
3,5,2021-09-02 00:00:00,
4,1,2021-09-02 00:00:00,
1,50,2021-09-02 00:00:00,
2,20,2021-09-02 00:00:00,
3,5,2021-09-02 00:00:00,
4,1,2021-09-02 00:00:00,
1,60,2021-09-02 00:00:00,ok
2,20,2021-09-02 00:00:00,
3,10,2021-09-02 00:00:00,
4,5,2021-09-02 00:00:00,
